Date,Note from the news,Weight
25/02/2020,"VERTICE SULLA GESTIONE DELL’EMERGENZA Per far fronte all’emergenza Coronavirus, lunga riunione del premier Conte in coordinamento con tutti i governatori. Un’ordinanza specifica: regole comuni per le Regioni.",-10
25/02/2020,SCONTRO GOVERNO – LOMBARDIA Si accende lo scontro tra Governo e Lombardia dopo le critiche del presidente del Consiglio Conte sulla gestione da parte dell’ospedale di Codogno. Replica immediata del governatore Fontana.,0
26/02/2020,CONFRONTO GOVERNO-REGIONI Continua il confronto tra Governo e Regioni sulla gestione dell’emergenza Coronavirus. Il Governo impugna l’ordinanza della Regione Marche sulla chiusura delle scuole. Conte invita all’unità,0
26/02/2020,"CORONAVIRUS, VIA LIBERA AL DECRETO La Camera vota il primo decreto con le misure straordinarie per le zone colpite dall'emergenza Coronavirus. Crimi chiede flessibilità dall'Europa sul piano economico. Dal centrodestra un sì al senso",-10
27/02/2020,#MILANONONSIFERMA,10
28/02/2020,"IL BILANCIO DEL CORONAVIRUS Ventuno vittime in Italia, oltre ottocento le persone contagiate: il bilancio dell’emergenza Coronavirus. Il monito dell’Oms che avverte: il rischio a livello globale resta alto.",-10
28/02/2020,"IL MONITO DI MATTARELLA “La conoscenza è l’antidoto a comportamenti irrazionali e immotivati”. Il presidente Mattarella celebrando i trent’anni di Telethon, lancia un appello intervenendo sull’emergenza Coronavirus.",0
28/02/2020,"SOSTEGNO ALL’ECONOMIA, CDM A PALAZZO CHIGI A Palazzo Chigi Consiglio dei ministri per lo studio delle misure immediate a sostegno dell'economia delle zone rosse di Lombardia e Veneto colpite dall’emergenza Coronavirus.",0
29/02/2020,"CORONAVIRUS, SCUOLE CHIUSE NELLE REGIONI COLPITE Contrastare il contagio. In Lombardia, Veneto ed Emilia Romagna le scuole resteranno chiuse fino all’8 marzo. Una decisione congiunta tra Governo e Regioni. Scuole aperte nelle altre regioni.",-10
01/03/2020,"CORONAVIRUS, COMPAGNIE AEREE BLOCCANO VOLI Aumentano i Paesi intenzionati a bloccare i voli con l’Italia, dalla Turchia agli Stati Uniti, dove due compagnie aeree sospendono i collegamenti con il nostro Paese.",-10
01/03/2020,"SALVINI: CANCELLARE LE TASSE Il centrodestra chiede un piano straordinario per combattere l'emergenza coronavirus, quanto disposto dal Governo non basta. Per Salvini “le tasse per chi non sta lavorando non vanno sospese",0
01/03/2020,"CONTE FIRMA NUOVO DECRETO Emergenza Coronavirus, il presidente del Consiglio Conte firma il nuovo decreto che contiene le misure per fronteggiare l'emergenza. Stop a eventi pubblici nelle zone a rischio, dove restano chiuse",-10
02/03/2020,"AL VIA LA TASK FORCE UE La Commissione europea presenta il “Corona Response Team”, una task force messa in campo per fronteggiare l’emergenza Coronavirus. Nel team anche il commissario europeo Paolo Gentiloni.",0
02/03/2020,ZINGARETTI INCONTRA LE PARTI SOCIALI Al Nazareno il segretario Zingaretti incontra le parti sociali per un confronto sulle forze da mettere in campo per gestire l'emergenza Coronavirus. Il centrodestra resta critico: misure insufficienti.,0
03/03/2020,"DI MAIO: NO A CHIUSURE INDISCRIMINATE Luigi Di Maio illustra le misure a favore delle imprese che esportano. Sul blocco nei confronti dei viaggiatori italiani sottolinea: ""non accetteremo chiusure indiscriminate"".",10
03/03/2020,VERTICE A PALAZZO CHIGI Il presidente del Consiglio Conte convoca a Palazzo Chigi i capigruppo di maggioranza e opposizione per fare il punto sull’emergenza Covid 19. Il premier auspica unità di intenti con tutte le,0
03/03/2020,IL GOVERNO PRESENTA UN PIANO STRAORDINARIO Il Governo presenta un piano straordinario da 650 milioni alla Farnesina per sostenere le imprese che esportano all’estero. La ministra Bellanova sottolinea come il Coronavirus colpisca un settore di,0
04/03/2020,"L’APPELLO DELL’OMS L’Oms rinnova il suo appello: mancano equipaggiamenti per i medici e presidi sanitari. Intanto, limiti all’export e controlli alla distribuzione di diversi Paesi europei.",-10
04/03/2020,LEZIONI SOSPESE Scuole e università chiuse in tutta Italia fino al 15 marzo. La decisione presa dal Governo per fronteggiare l’emergenza Covid 19. Il premier Conte spiega che si tratta di uno stop in via,-10
04/03/2020,"IL MESSAGGIO DI CONTE Il premier Conte interviene con un video messaggio alla nazione per fare il punto sull'emergenza Coronavirus. ""Non è la prima volta che il nostro Paese si trova a far fronte a emergenze nazionali"".",-10
05/03/2020,CDM A PALAZZO CHIGI A Palazzo Chigi Consiglio dei ministri sull'aumento del deficit per reperire nuove risorse da destinare alla lotta al Coronavirus: sette miliardi e mezzo destinati agli aiuti alle famiglie e alle imprese in,0
05/03/2020,"IL MESSAGGIO DI MATTARELLA Il momento che stiamo vivendo richiede condivisione e unità di intenti nell'impegno per sconfiggere
il virus”. Il presidente Mattarella si rivolge a tutti italiani, preoccupati per l’emergenza Covid-19.",-10
06/03/2020,VERTICE DEI MINISTRI DELLA SALUTE L’emergenza Coronavirus al centro del vertice a Bruxelles dei ministri della Salute dell’Unione europea. Stanziati nuovi fondi per la ricerca e lo sviluppo dei vaccini.,0
07/03/2020,L’OMS ALZA IL LIVELLO DI PERICOLOSITA’ L'Oms alza il livello di pericolosità da moderato a molto elevato anche per l'Europa e prevede il rischio pandemia: i Paesi coinvolti sono oltre 70.,-10
07/03/2020,"CONTE A STRETTO CONTATTO CON LE REGIONI Il premier Conte, a stretto contatto con le regioni interessate che chiedono aiuti immediati, è al lavoro sul provvedimento che estenderà le zone rosse e quelle gialle sul territorio.",-10
07/03/2020,ZINGARETTI POSITIVO AL CORONAVIRUS Il governatore del Lazio Nicola Zingaretti annuncia in un video di essere risultato positivo al Coronavirus e che sarà in isolamento domiciliare. Solidarietà espressa da tutto il mondo politico.,0
08/03/2020,MATTARELLA FIRMA DL SANITA’-TRIBUNALI Il presidente della Repubblica Mattarella firma il decreto legge recante le misure straordinarie per contrastare l’emergenza Coronavirus e le limitazioni sulle attività dei tribunali.,-10
08/03/2020,"LO STUDIO DELLE MISURE ECONOMICHE “Tutelare la nostra salute e quella dei nostri cari”. Il premier Conte al lavoro a Palazzo Chigi per lo studio del provvedimento con le misure economiche, in vista anche dell’incontro con le opposizioni.",-10
08/03/2020,"STRETTA DEL GOVERNO SULL’EPIDEMIA Lombardia e 14 Province, stretta del Governo per rafforzare le misure di contenimento dell’epidemia: ingresso e uscita dalle regioni solo per gravi motivi. Decise ulteriori limitazioni su tutto il territorio",-10
09/03/2020,"CONTE: RISPETTARE LE REGOLE Il presidente del Consiglio Conte fa il punto sulla situazione tornando a chiedere la collaborazione degli italiani. Necessaria determinazione e responsabilità di ogni singolo cittadino, ammonisce il",-10
09/03/2020,"NUOVE REGOLE E SANZIONI Entrate in vigore le nuove direttive per fronteggiare l’emergenza Coronavirus. Il ministro dell’Interno Lamorgese invia ai prefetti le direttive su autocertificazioni, regole di comportamento e sanzioni.",-10
09/03/2020,"LE REAZIONI DELL’OPPOSIZIONE Dall’opposizione dure critiche da parte di Matteo Salvini all’operato del Governo. Per il leader della Lega è necessaria maggiore chiarezza, Giorgia Meloni propone di valutare la chiusura temporanea",-10
10/03/2020,MISURE STRINGENTI L’Italia è il primo Paese al mondo ad adottare misure stringenti sull’intero territorio nazionale. Il nuovo decreto prevede una raccomandazione base: restare a casa. Obbligatorio produrre,-10
10/03/2020,"ITALIA ZONA PROTETTA Tutto il Paese diventa zona protetta. Il presidente del Consiglio firma il decreto “Io resto a casa”. Chiuse fino al 3 aprile scuole e università. Spostamenti possibili solo per ragioni inderogabili: salute,",-10
11/03/2020,"OMS DICHIARA LA PANDEMIA L’Oms dichiara la pandemia, casi in crescita in tutto il mondo. Il premier Conte annuncia lo stanziamento di 25 miliardi mentre Ursula Von der Leyen dice: siamo tutti italiani. Bruxelles apre alle",-10
12/03/2020,"AUMENTA IL NUMERO DEI POSITIVI Covid -19, nuova giornata difficile sul fronte dei contagi che vedono numeri in ascesa. Quasi 13mila le persone positive, aumentano i pazienti guariti ma cresce anche il numero delle vittime, oltre mille.",-10
12/03/2020,CONTE AL LAVORO CON LE PARTI SOCIALI Il premier Giuseppe Conte convoca le parti sociali per la messa a punto dei protocolli di sicurezza per la tutela dei lavoratori nelle fabbriche. Critiche da parte dell’opposizione che ritiene insufficienti,-10
13/03/2020,"SICUREZZA, OBBLIGO MORALE Mascherine e guanti gratuiti per i lavoratori. Il presidente del Consiglio Conte, ringrazia chi sta combattendo l’epidemia e ribadisce come il tema della sicurezza resti un obbligo morale. Pronti gli",-10
14/03/2020,MEDICI CINESI ALLO SPALLANZANI L’arrivo dei medici cinesi all’ospedale Spallanzani di Roma. Gli specialisti della Croce Rossa cinese esprimo un giudizio positivo sull’organizzazione degli ospedali italiani.,0
14/03/2020,"SICUREZZA SUL LAVORO, INTESA RAGGIUNTA Dopo una intensa trattativa, il presidente del Consiglio Conte annuncia l’accordo raggiunto sul protocollo sicurezza, per la tutela dei dipendenti nei luoghi di lavoro. Soddisfazione da parte dei",-10
15/03/2020,"MILANO IN GINOCCHIO Il grido di allarme di Attilio Fontana: la Regione al collasso, difficoltà nel trovare medici e respiratori. Il governatore della Lombardia chiama Guido Bertolaso per il nuovo ospedale.",-10
15/03/2020,L’IMPEGNO DEL GOVERNO PER I DPI La priorità è far lavorare in sicurezza tutto il personale sanitario che si sta dedicando a questa emergenza. Il premier Conte conferma gli sforzi del Governo per l’approvvigionamento di,-10
16/03/2020,"IL DECRETO CURA ITALIA Il Consiglio dei ministri approva il decreto Cura Italia, che stila le misure economiche che l’esecutivo adotterà per affrontare l’emergenza Coronavirus, potenziamento della sanità e finanziamento degli",-10
17/03/2020,"LE NUOVE RISORSE SANITARIE Con il decreto varato dal Governo, i neolaureati in Medicina potranno entrare in servizio senza dover sostenere l’esame d’abilitazione: sono circa diecimila i medici in arrivo.",0
17/03/2020,L’UE CHIUDE LE FRONTIERE L’Unione europea chiuderà le sue frontiere per trenta giorni. La proposta avanzata dalla presidente della Commissione Ursula Von der Leyen ottiene il via libera da parte degli Stati membri.,-10
18/03/2020,"CONTE CHIEDE I COVID BOND ALL’UE Di fronte all’incedere dello tsunami economico, il premier Conte chiede l’intervento dell’Unione europea invocando i Covid bond, strumenti di finanziamento che siano appoggiati da tutta",0
18/03/2020,"DIVIETI VIOLATI Sono in costante aumento i numeri dell’epidemia, oltre 2500 vittime. Arriva la linea dura del Viminale. Coloro che violeranno la quarantena e positivi al Covid-19, rischiano fino a dodici anni di carcere.",-10
20/03/2020,"CONTAGIO IN AUMENTO Si aggrava il bilancio dei contagi, sale il numero delle vittime, oltre 600, il dato peggiore dall’inizio dell’epidemia. In Lombardia la situazione più drammatica, cresce l’emergenza a Milano. On line il",-10
20/03/2020,"I COMMENTI DELL’OPPOSIZIONE Sul fronte opposizione, il leader della Lega Matteo Salvini torna a chiedere a sindaci e governatori la chiusura di tutte le attività. Silvio Berlusconi garantisce collaborazione da parte di Forza Italia.",-10
21/03/2020,LE NUOVE MISURE DEL GOVERNO Il presidente del Consiglio Giuseppe Conte annuncia nuove stringenti misure per arginare i contagi dell’epidemia Covid-19. Sull’intero territorio nazionale chiuse tutte le attività produttive non,-10
22/03/2020,"L’APPELLO DEL PAPA “Fate quello che il governo chiede per il bene di tutti”. Di fronte all’emergenza Coronavirus, l’appello di Papa Francesco che invita la comunità cristiana ad una preghiera universale.",-10
22/03/2020,"LE PAROLE DI MATTARELLA In Italia decimata la popolazione anziana, punto di riferimento per i giovani. Il presidente della Repubblica Mattarella interviene sulla battaglia al Coronavirus scrivendo una lettera al presidente",-10
23/03/2020,"CONFERENZA DEI MINISTRI EUROPEI Cinquantamila positivi, oltre seimila decessi in Italia. Dopo la conferenza dei ministri europei della Salute, l’Europa parte con l’acquisto centralizzato di materiali per il contrasto alla pandemia.",-10
24/03/2020,ARCURI: SERVONO NOVANTA MILIONI DI MASCHERINE In Italia rallenta il numero dei positivi mentre aumentano guariti e vittime. Positivo il commissario per l’emergenza della Lombardia Guido Bertolaso. L’appello del commissario Arcuri: servono novanta,0
24/03/2020,VIA LIBERA A INASPRIMENTO SANZIONI Il Consiglio dei ministri dà il via libera all’inasprimento delle sanzioni per chi viola le regole. Multe da 400 a 3000 euro. Il presidente del Consiglio Conte invita a rispettare le restrizioni: solo così ne usciremo.,-10
25/03/2020,"RESTARE A CASA. L’APPELLO DEGLI ESPERTI La curva dei contagi tende a stabilizzarsi ma è necessario restare a casa. A ripeterlo è il team degli esperti, mentre ogni giorno aumenta il numero dei decessi dei medici. Il capo della Protezione civile",-10
26/03/2020,"LA PANDEMIA NEL MONDO 500mila casi in tutto il mondo. Il fronte della battaglia alla pandemia segna i dati più allarmanti in Spagna, Gran Bretagna e Stati Uniti. Preoccupazione del sindaco De Blasio: New York, mezza città",-10
26/03/2020,"IN VIGORE IL NUOVO DECRETO Entrano in vigore le misure del decreto legge anti contagio: maggiore stretta sugli spostamenti, controlli e sanzioni più dure, diffuso un nuovo modello per l’autodichiarazione. Arresto per chi viola",-10
26/03/2020,"UN BANDO PER RECLUTARE INFERMIERI Oltre sessantamila positivi, 4500 casi in più. La Protezione civile lancia un bando per reclutare infermieri. Aumenta l’emergenza in Lombardia, cresce la preoccupazione del governatore Fontana.",-10
27/03/2020,"CONTAGI, DISCESA PIU’ VICINA La curva dei contagi sembra attenuarsi ma attenzione a vanificare gli sforzi. Secondo il presidente ISS Brusaferro mai come ora è fondamentale restare a casa. Il governatore Fontana annuncia",-10
28/03/2020,"IL DRAMMA DI BERGAMO Lombardia, ricoveri in diminuzione ma allarme a Bergamo: seicento gli anziani morti nelle case di cura. Il capo della Protezione civile precisa: senza misure di contenimento il quadro sarebbe",-10
29/03/2020,"CALO DELLE TERAPIE INTENSIVE Quasi 74mila positivi, ricoveri in calo e in lieve diminuzione il numero di terapie intensive e decessi. Ma il ministro Speranza frena: siamo nel pieno dell’epidemia. Quasi diecimila i medici pronti a partire",0
30/03/2020,"CONTE, UDIENZA IN VATICANO Il premier Conte incontra Papa Francesco: un’ora di udienza in Vaticano per discutere dei principali temi di attualità ma soprattutto dell’emergenza mondiale Covid - 19. In attesa del nuovo decreto il",10
30/03/2020,"MASCHERINE, PRODUZIONE STRAORDINARIA Comincia la produzione straordinaria di mascherine. Via alla riconversione industriale in numerose aziende; a Milano continua la sperimentazione di prototipi di ventilatori polmonari realizzati con",10
30/03/2020,"CONTAGI, TREND IN CALO Il numero dei contagi giornalieri si dimezza ma il numero dei decessi resta alto: oltre 800 in un giorno. La Lombardia resta la regione più colpita. Il capo della Protezione civile: l’allerta rimane alta. Di Maio",10
31/03/2020,"BANDIERE A MEZZ’ASTA A Palazzo Chigi e in tutti gli uffici pubblici del Paese un minuto di silenzio e bandiere a mezz’asta, in segno di lutto e vicinanza ai familiari delle oltre 12mila vittime del Coronavirus.",0
31/03/2020,AIUTI DAGLI USA Colloquio telefonico Trump - Conte. Il presidente del Consiglio ringrazia per la solidarietà e il sostegno ricevuto dagli Usa per l’emergenza Covid-19. In arrivo materiale sanitario e cento milioni di dollari.,0
02/04/2020,"IN CASA FINO AL 13 APRILE Mentre nel mondo il numero dei contagi sfiora il milione, in Italia restrizioni prorogate fino al 13 aprile. Calano i decessi, aumentano i guariti, ma la ripresa sarà graduale. Il monito degli esperti:",10
03/04/2020,"CAUTO OTTIMISMO Rallentano i contagi, si intravede la decrescita ma attenzione alla fase più delicata. Oltre 85mila i casi positivi, ma aumenta il numero dei guariti. Frena il trend anche in Lombardia. Il picco non si è",10
04/04/2020,ALLARME AFFOLLAMENTI Cresce l’allarme per i frequenti assembramenti e si rafforzano i controlli delle forze dell’ordine in uscita dalle città. Il monito del ministro della Salute Speranza: chi non rispetta le regole,-10
05/04/2020,"VERSO LA FASE DUE Coronavirus, comincia a scendere la curva dei contagi in Italia, diminuisce la pressione negli ospedali, timidi segnali di ottimismo. Allo studio del ministero della Salute un piano per convivere",10
05/04/2020,MESSAGGIO DI PRUDENZA Il premier Conte intervistato dalla rete americana NBC ribadisce messaggi di prudenza e che la strada giusta per uscire dalla pandemia è una: restare a casa. Il premier ringrazia Trump per il,-10
06/04/2020,"LA PROPOSTA DI SALVINI Rispettare le ordinanze. La Cei risponde così alla proposta del leader della Lega Matteo Salvini che almeno per Pasqua, aveva chiesto la riapertura delle chiese per consentire ai fedeli di partecipare",-10
07/04/2020,"CAUTO OTTIMISMO Coronavirus, in calo la curva dei contagi e il trend delle terapie intensive. La Protezione Civile raccomanda massima attenzione e annuncia il rifornimento di mascherine. L'ISS ribadisce: serve",-10
07/04/2020,VERTICE A PALAZZO CHIGI A Palazzo Chigi vertice tra Governo e Comitato scientifico per fare il punto sull'emergenza coronavirus: sul tavolo anche i criteri dell’organizzazione della fase due. Il premier accoglie l’invito,-10
07/04/2020,"LA GIORNATA MONDIALE DELLA SALUTE 'Impegno solidale tra tutti i Paesi per combattere il coronavirus', così la riflessione del presidente della Repubblica Sergio Mattarella nel messaggio inviato per la 'Giornata della salute'.",0
08/04/2020,"GOVERNO AL LAVORO SUL PROSSIMO DPCM Il Governo al lavoro sulle tappe della fase due: il premier Conte, se mette in guardia sulle ipotesi di riapertura, critica l'atteggiamento dell'Unione europea tornando a insistere sulla necessità degli",0
09/04/2020,"CONTE INCONTRA LE PARTI SOCIALI Vertice in videoconferenza tra il premier Conte e sindacati e rappresentanti delle imprese. Il premier anticipa il prolungamento del lockdown fino al 3 maggio. Cgil, Cisl e Uil ribadiscono la",-10
10/04/2020,LA CONFERENZA STAMPA DI CONTE Il premier Conte annuncia la proroga delle misure restrittive fino al 3 maggio. Prende corpo la costruzione di un modello che garantisca la sicurezza dei lavoratori nella fase due. Sulla questione,-10
11/04/2020,GLI AUGURI DI MATTARELLA Video messaggio del presidente Mattarella per esprimere vicinanza agli italiani costretti in casa nel corso delle festività pasquali a causa dell’emergenza coronavirus. Dal capo dello Stato gli auguri di,0
13/04/2020,IN CALO I NUMERI DEL CONTAGIO I numeri del contagio confermano un trend in calo: sono in decrescita i ricoveri nelle terapie intensive e si registra il numero di decessi più basso dal 19 marzo. Per gli esperti si può parlare di,10
14/04/2020,"LOMBARDIA E PIEMONTE, RESTA LA CRITICITA’ Rallentano i contagi e i ricoveri in terapia intensiva ma non si arresta il numero dei decessi. Permane la situazione di criticità in Lombardia e Piemonte. Tra i camici bianchi sale il numero dei",-10
15/04/2020,LA LINEA DELL’EUROPA A Bruxelles la presidente della Commissione europea von der Leyen presenta le linee guida per l’allentamento delle restrizioni previste per il contrasto al Covid 19. Saranno i governi nazionali a,0
15/04/2020,"L’ALLERTA RESTA ALTA Calo moderato dei contagi, diminuisce il numero dei ricoveri in terapia intensiva, ma ancora molti i decessi. L’allerta resta alta in tutte le Regioni. Il Viminale invia una circolare ai prefetti per",-10
17/04/2020,VERSO LA FASE DUE La fase due al via dal 27 aprile: la task force guidata da Colao al lavoro per definire i rischi contagio di ogni attività in base ai codici Ateco. I governatori liberi di bloccare arrivi e partenze da,10
17/04/2020,PRESSING DELLE REGIONI Si allunga la lista delle Regioni che chiedono le riaperture. Al pressing dei presidenti di Veneto e Lombardia si aggiungono anche le richieste di Piemonte e Sicilia. Zingaretti frena: servono tempi e,10
17/04/2020,"L’APP PER IL TRACCIAMENTO DEI CONTAGI Immuni. È questo il nome della app per il tracciamento del contagio da coronavirus. Il commissario Arcuri firma il contratto con la società selezionata dal team di esperti. Non sarà obbligatoria, ma su",10
18/04/2020,"LA CAUTELA DEGLI ESPERTI In calo il trend dei ricoveri, ma il numero di chi ha perso la vita a causa del Covid 19 è ancora alto. Il monito del Commissario straordinario Arcuri: senza salute e sicurezza la ripresa sarà breve. Gli",-10
20/04/2020,"RIENTRO IN FABBRICA, TUTELE RAFFORZATE Termo scanner, guanti e mascherine. Da nord a sud sono molte le aziende che riprendono la produzione, per le filiere considerate essenziali. Il ministro dello Sviluppo economico Patuanelli: per",10
20/04/2020,CALA IL NUMERO DEI POSITIVI Cala per la prima volta il numero delle persone positive. In diminuzione anche il numero dei ricoveri in terapia intensiva. Per il capo della protezione civile Borrelli si tratta dei dati più bassi da un mese.,10
21/04/2020,"LA PANDEMIA NEL MONDO Covid 19, nel mondo superati i due milioni e mezzo di casi. Gli Stati Uniti il Paese più colpito: oltre 42mila i decessi. Il presidente Donald Trump twitta: stop temporaneo all’immigrazione.",-10
21/04/2020,"CONTE, INFORMATIVA IN AULA In Parlamento per l’informativa sull’emergenza Coronavirus, il premier Conte ribadisce: dal 4 maggio il ritorno alla normalità sarà graduale. Poi annuncia l’arrivo di un nuovo decreto con lo",10
21/04/2020,"CONTAGI, SI CONFERMA TREND IN CALO Resta ancora alto il numero dei decessi ma è record di guariti: oltre duemila. Anche il numero dei ricoveri in terapia intensiva continua a calare. Il commissario Arcuri anticipa la nuova app in fase di",10
22/04/2020,"TASK FORCE ALLO STUDIO DELLA FASE DUE In attesa del Consiglio europeo, il presidente del Consiglio Conte riunisce ministri e task force per studiare i cardini del piano nazionale per la fase due. Utilizzo di mascherine e distanziamento fino al",-10
23/04/2020,"IL CONSIGLIO UE Il Consiglio europeo alla prova dell’emergenza Covid 19: sul tavolo le misure anticrisi. Accordo tra i Paesi per il Recovery fund, strumento urgente e necessario. Il premier Conte guadagna il sì alle",0
23/04/2020,"INDICE DI CONTAGIOSITA’ IN CALO Ancora in calo il numero dei ricoveri, per la prima volta il numero dei guariti è superiore all’incremento dei nuovi casi. Scende anche l’indice di contagiosità. Il ministro Speranza: massima",10
24/04/2020,"CONTE: VACCINO UNICA VIA In attesa di presentare le linee guida per la fase due il premier Conte, al momento del lancio della coalizione internazionale voluta da Onu e Oms, ribadisce: il vaccino unica strada per sconfiggere il",0
